station_id,latitude,longitude,elevation,declination,declination_model,comments,channels_recorded,start_time,end_time,sample_rate,n_runs,instrument,mth5_file,duration_days
VIC078b,-36.0199,143.0023,,10.138,AGRF,nan,"['bx', 'by', 'bz', 'ex', 'ey']",2014-08-22 05:00:00+00:00,2014-09-08 00:59:59.900000+00:00,10.0,26,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC078b.h5,16.833332175925925
VIC079,-36.00742,143.55606,103.0,10.2,AGRF,nan,"['bx', 'by', 'bz', 'ex', 'ey']",2014-07-01 07:00:00+00:00,2014-07-18 04:59:59.900000+00:00,10.0,1,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC079.h5,16.916665509259257
VIC080,-35.97749,143.95425,92.0,10.5,AGRF,nan,"['bx', 'by', 'bz', 'ex', 'ey']",2014-07-08 00:09:00+00:00,2014-07-24 02:59:59.900000+00:00,10.0,2,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC080.h5,16.11874884259259
VIC081,-36.00216,144.50682,38.0,10.733,AGRF,nan,"['bx', 'by', 'bz', 'ex', 'ey']",2014-02-27 01:00:00+00:00,2014-04-02 05:59:59.900000+00:00,10.0,1,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC081.h5,34.208332175925925
VIC082R,-35.97454,145.05205,84.0,10.93,AGRF,,"['bx', 'by', 'bz', 'ex', 'ey', 'temperature_e', 'temperature_h']",2016-12-08 00:00:00+00:00,2017-01-16 23:59:59+00:00,1.0,1,LEMI-424,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\LEMI_MTH5\VIC082R.h5,39.99998842592593
VIC083,-36.03169,145.55508,123.0,11.158,AGRF,nan,"['bx', 'by', 'bz', 'e1', 'e2', 'temperature_h', 'temperature_e']",2014-08-01 00:00:00+00:00,2014-08-19 01:59:59.900000+00:00,10.0,1,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC083.h5,18.083332175925925
VIC084,-36.0807,145.95886,214.0,11.343,AGRF,nan,"['bx', 'by', 'bz', 'ex', 'ey']",2014-08-02 05:00:00+00:00,2014-08-18 17:49:59.900000+00:00,10.0,2,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC084.h5,16.534721064814814
VIC085,-35.99615,146.49242,156.0,11.517,AGRF,nan,"['bx', 'by', 'bz', 'ex', 'ey']",2014-02-23 03:00:00+00:00,2014-04-01 03:47:59.900000+00:00,10.0,1,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC085.h5,37.03333217592593
VIC086,-36.05529,147.47225,822.0,11.924,AGRF,nan,"['bx', 'by', 'bz', 'ex', 'ey']",2013-11-19 08:00:00+00:00,2013-12-22 21:58:59.900000+00:00,10.0,2,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC086.h5,33.58263773148148
VIC087,-35.39036,140.97699,138.0,9.09,AGRF,nan,"['bx', 'by', 'bz', 'ex', 'ey']",2014-08-20 03:00:00+00:00,2014-09-06 03:59:59.900000+00:00,10.0,2,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC087.h5,17.041665509259257
VIC088,-35.36356,141.54494,77.0,9.389,AGRF,nan,"['bx', 'by', 'bz', 'ex', 'ey']",2014-07-06 02:00:00+00:00,2014-07-20 15:46:59.900000+00:00,10.0,1,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC088.h5,14.574304398148147
VIC089,-35.49146,142.0034,68.0,9.611,AGRF,nan,"['bx', 'by', 'bz', 'ex', 'ey']",2014-07-07 02:00:00+00:00,2014-07-22 02:54:59.900000+00:00,10.0,1,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC089.h5,15.038193287037036
VIC090,-35.54236,142.46494,103.0,9.795,AGRF,nan,"['bx', 'by', 'bz', 'ex', 'ey']",2014-07-05 03:00:00+00:00,2014-07-19 16:59:59.900000+00:00,10.0,1,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC090.h5,14.583332175925925
VIC091,-35.49349,142.99228,66.0,9.988,AGRF,nan,"['bx', 'by', 'bz', 'ex', 'ey']",2014-07-07 07:00:00+00:00,2014-07-24 06:59:59.900000+00:00,10.0,2,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC091.h5,16.999998842592593
